pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shcollege,puma_shnoncollege,puma_shpov_col,puma_shpov_noncol,puma_hhinc_col,puma_hhinc_noncol,puma_shmarr_noncol,puma_shcoh_noncol,puma_shunpmom_noncol,puma_shmarr_col,puma_shcoh_col,puma_shunpmom_col,puma_shpov_marr_col,puma_shpov_cohab_col,puma_shpov_unpmom_col,puma_shpov_marr_noncol,puma_shpov_cohab_noncol,puma_shpov_unpmom_noncol,puma_hhinc_marr_col,puma_hhinc_cohab_col,puma_hhinc_unpmom_col,puma_hhinc_marr_noncol,puma_hhinc_cohab_noncol,puma_hhinc_unpmom_noncol
Bexar County (Northwest)--San Antonio (Far Northwest) & Helotes Cities,4805914,4805606,Bexar County (Northwest)--San Antonio (Far Northwest) & Helotes Cities,4805914,2010,west south central div,29,5606,05606,40.477562,59.522438,3.5592,12.905722,107000,60000,70.714226,9.7158842,19.569889,89.809975,1.1692924,9.020731,2.4525373,0,15.038438,6.6946516,7.0035686,38.279179,110000,136000,50000,69300,52000,29200
Bexar County (North)--San Antonio City (Far North) & Timberwood Park,4805915,4805610,Bexar County (North)--San Antonio City (Far North) & Timberwood Park,4805915,2010,west south central div,29,5610,05610,47.361534,52.638466,3.4246776,12.494295,110000,63500,70.475266,9.9717464,19.552982,83.212532,1.2382352,15.549235,1.4164025,0,14.444782,7.3069243,13.9168,30.465799,120000,68600,61800,75650,51200,32800
"Bexar County (Northeast)--San Antonio (Northeast), Universal City & Converse Cities",4805916,4805610,"Bexar County (Northeast)--San Antonio (Northeast), Universal City & Converse Cities",4805916,2010,west south central div,29,5610,05610,34.976879,65.023117,3.9796102,13.816984,99000,56000,67.869408,9.1242247,23.006371,88.096123,1.8256339,10.078243,3.2068036,0,11.455772,7.1693549,7.2964168,36.013691,102500,136000,50000,65500,51830,29200
Alamo Area COG (Northwest) & Blanco County,4806000,4805800,Alamo Area COG (Northwest) & Blanco County,4806000,2010,west south central div,0,5800,05800,22.75803,77.241974,6.2671585,13.911258,100010,34300,65.988945,3.3903823,30.62067,89.329353,0,10.670652,2.1103048,,41.066254,5.3858209,.39858985,33.780117,101000,,21500,45000,29000,22800
Middle Rio Grande Development Council,4806200,4805900,Middle Rio Grande Development Council,4806100,2010,west south central div,0,5900,05900,17.594196,82.405807,5.150321,11.282528,100010,41000,66.300026,5.4642453,28.235725,90.379532,.23097467,9.3894968,1.4222507,,41.161926,4.65099,3.1934514,28.419395,101000,,21500,48700,54400,23000
South Texas Development Council (North)--Webb County--Laredo City (Central),4806301,4806000,South Texas Development Council (North)--Webb County--Laredo City (Central),4806301,2010,west south central div,479,6000,06000,15.9023,84.097702,1.9017795,29.134474,74000,31400,59.334785,10.675756,29.989456,75.628197,5.6060491,18.765753,1.706726,0,3.2560031,20.679583,51.433979,37.924393,80800,101000,40500,36500,19000,19500
South Texas Development Council--Webb County (North & East)--Laredo City (Outer),4806302,4806000,South Texas Development Council--Webb County (North & East)--Laredo City (Outer),4806302,2010,west south central div,479,6000,06000,15.9023,84.097702,1.9017795,29.134474,74000,31400,59.334785,10.675756,29.989456,75.628197,5.6060491,18.765753,1.706726,0,3.2560031,20.679583,51.433979,37.924393,80800,101000,40500,36500,19000,19500
Coastal Bend COG (Northeast),4806500,4806400,Coastal Bend COG (Northeast),4806500,2010,west south central div,0,6400,06400,9.4864178,90.51358,5.4000592,14.227072,74050,40700,56.98756,11.254534,31.757906,83.54068,6.6758828,9.7834387,2.9064548,0,30.377739,1.7317398,12.756059,37.17046,74050,73200,21100,62000,35730,21400
Coastal Bend COG--Nueces County--Corpus Christi City (Outer),4806601,4806302,Coastal Bend COG--Nueces County--Corpus Christi City (Outer),4806601,2010,west south central div,0,6302,06302,15.802768,84.197235,1.3475118,24.169872,96760,47690,56.039173,10.582752,33.378075,78.833855,4.8622541,16.30389,0,0,8.2649698,3.6738009,25.280556,58.229023,110100,114000,48400,65000,48000,14200
Coastal Bend COG--Nueces County--Corpus Christi City (Outer),4806601,4806400,Coastal Bend COG--Nueces County--Corpus Christi City (Outer),4806603,2010,west south central div,0,6400,06400,16.965017,83.034981,.3674989,28.415648,103000,36000,54.513496,11.915977,33.570526,78.436821,2.8739431,18.689238,0,0,1.9663665,10.062053,29.869949,57.702923,120000,128000,48400,64820,31000,14200
Coastal Bend COG--Nueces County--Corpus Christi City (Outer),4806601,4806302,Coastal Bend COG--Nueces County--Corpus Christi City (Outer),4806604,2010,west south central div,0,6302,06302,10.507754,89.492249,.32360911,31.777391,96760,26400,60.73056,9.9930763,29.276367,75.334045,1.5248919,23.141058,0,0,1.3984196,23.678926,39.88633,45.808876,109000,128000,86900,32000,24700,23000
Cameron County (South)--Brownsville City (Central),4806703,4806900,Cameron County (South)--Brownsville City (Central),4806701,2010,west south central div,61,6900,06900,10.489152,89.510849,6.7125411,36.931732,83000,24000,64.404884,2.7381094,32.857006,79.847923,2.6863093,17.465773,3.39539,0,22.90991,28.252993,29.746967,54.542168,90000,35900,64000,32000,49800,17000
Cameron County (West)--Harlingen & San Benito Cities,4806702,4806900,Cameron County (West)--Harlingen & San Benito Cities,4806702,2010,west south central div,61,6900,06900,9.8486691,90.151329,6.6337547,38.691139,83000,23500,63.825123,2.5921059,33.582767,80.206726,1.5427337,18.25054,4.8663206,0,14.961961,28.111961,21.13134,60.152565,96000,35900,64000,34400,49800,16700
Cameron County (East)--Brownsville City (North),4806701,4806800,Cameron County (East)--Brownsville City (North),4806703,2010,west south central div,61,6800,06800,12.268963,87.731033,6.8882866,31.907722,61100,25000,66.060387,3.1550255,30.784584,79.047539,5.2372499,15.71521,.066112183,0,43.499428,28.642076,49.959538,37.065365,85640,24000,40400,31000,22200,20300
Hidalgo County (Southeast)--Weslaco & Mercedes Cities,4806801,4806704,Hidalgo County (Southeast)--Weslaco & Mercedes Cities,4806801,2010,west south central div,215,6704,06704,10.342484,89.657516,.20094547,28.970888,54300,29700,66.046326,4.7598743,29.1938,69.040604,7.9001336,23.059263,.29105404,0,0,19.243814,33.724152,50.201851,104000,78100,43000,35000,6500,15300
Hidalgo County (East)--Alamo & Donna Cities,4806802,4806704,Hidalgo County (East)--Alamo & Donna Cities,4806802,2010,west south central div,215,6704,06704,9.7411175,90.258881,6.3700824,36.561684,80500,25800,62.854229,3.3118577,33.833912,76.420197,6.0295072,17.550301,.7797724,0,32.900745,23.914476,43.422272,59.385212,90700,78100,32300,33000,16200,13200
"Hidalgo County (South Central)--Pharr, San Juan & Hidalgo Cities",4806803,4806703,"Hidalgo County (South Central)--Pharr, San Juan & Hidalgo Cities",4806803,2010,west south central div,215,6703,06703,10.676472,89.323532,1.6936951,30.688139,98000,30000,63.311356,4.9038553,31.784788,76.270363,5.0771952,18.652447,2.2206464,0,0,20.754555,30.97463,50.430412,106000,78100,44000,37300,21400,17100
Hidalgo County (North Central)--Edinburg City,4806804,4806701,Hidalgo County (North Central)--Edinburg City,4806804,2010,west south central div,215,6701,06701,9.8245754,90.175423,8.2476873,38.555298,86000,25500,61.54245,3.0101917,35.447357,80.309441,4.6982393,14.992322,1.5628744,0,46.640884,25.43622,45.255043,60.763241,90700,74800,32300,33000,21400,13200
