pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shcollege_white,puma_shcollege_hispanic,puma_shcollege_black,puma_shcollege_asian,puma_shcollege_other,puma_shnoncollege_white,puma_shnoncollege_hispanic,puma_shnoncollege_black,puma_shnoncollege_asian,puma_shnoncollege_other,puma_shmarr_white_noncol,puma_shcoh_white_noncol,puma_shunpmom_white_noncol,puma_shmarr_hispanic_noncol,puma_shcoh_hispanic_noncol,puma_shunpmom_hispanic_noncol,puma_shmarr_black_noncol,puma_shcoh_black_noncol,puma_shunpmom_black_noncol,puma_shmarr_asian_noncol,puma_shcoh_asian_noncol,puma_shunpmom_asian_noncol,puma_shmarr_other_noncol,puma_shcoh_other_noncol,puma_shunpmom_other_noncol,puma_shmarr_white_col,puma_shcoh_white_col,puma_shunpmom_white_col,puma_shmarr_hispanic_col,puma_shcoh_hispanic_col,puma_shunpmom_hispanic_col,puma_shmarr_black_col,puma_shcoh_black_col,puma_shunpmom_black_col,puma_shmarr_asian_col,puma_shcoh_asian_col,puma_shunpmom_asian_col,puma_shmarr_other_col,puma_shcoh_other_col,puma_shunpmom_other_col,puma_shpov_white_noncol,puma_shpov_hispanic_noncol,puma_shpov_black_noncol,puma_shpov_asian_noncol,puma_shpov_other_noncol,puma_shpov_white_col,puma_shpov_hispanic_col,puma_shpov_black_col,puma_shpov_asian_col,puma_shpov_other_col,puma_hhinc_white_noncol,puma_hhinc_hispanic_noncol,puma_hhinc_black_noncol,puma_hhinc_asian_noncol,puma_hhinc_other_noncol,puma_hhinc_white_col,puma_hhinc_hispanic_col,puma_hhinc_black_col,puma_hhinc_asian_col,puma_hhinc_other_col,puma_shpov_white_noncol_marr,puma_shpov_white_noncol_coh,puma_shpov_white_noncol_unpmom,puma_shpov_hisp_noncol_marr,puma_shpov_hisp_noncol_coh,puma_shpov_hisp_noncol_unpmom,puma_shpov_black_noncol_marr,puma_shpov_black_noncol_coh,puma_shpov_black_noncol_unpmom,puma_shpov_asian_noncol_marr,puma_shpov_asian_noncol_coh,puma_shpov_asian_noncol_unpmom,puma_shpov_other_noncol_marr,puma_shpov_other_noncol_coh,puma_shpov_other_noncol_unpmom,puma_shpov_white_col_marr,puma_shpov_white_col_coh,puma_shpov_white_col_unpmom,puma_shpov_hisp_col_marr,puma_shpov_hisp_col_coh,puma_shpov_hisp_col_unpmom,puma_shpov_black_col_marr,puma_shpov_black_col_coh,puma_shpov_black_col_unpmom,puma_shpov_asian_col_marr,puma_shpov_asian_col_coh,puma_shpov_asian_col_unpmom,puma_shpov_other_col_marr,puma_shpov_other_col_coh,puma_shpov_other_col_unpmom,puma_hhinc_white_noncol_marr,puma_hhinc_white_noncol_coh,puma_hhinc_white_noncol_unpmom,puma_hhinc_hisp_noncol_marr,puma_hhinc_hisp_noncol_coh,puma_hhinc_hisp_noncol_unpmom,puma_hhinc_black_noncol_marr,puma_hhinc_black_noncol_coh,puma_hhinc_black_noncol_unpmom,puma_hhinc_asian_noncol_marr,puma_hhinc_asian_noncol_coh,puma_hhinc_asian_noncol_unpmom,puma_hhinc_other_noncol_marr,puma_hhinc_other_noncol_coh,puma_hhinc_other_noncol_unpmom,puma_hhinc_white_col_marr,puma_hhinc_white_col_coh,puma_hhinc_white_col_unpmom,puma_hhinc_hisp_col_marr,puma_hhinc_hisp_col_coh,puma_hhinc_hisp_col_unpmom,puma_hhinc_black_col_marr,puma_hhinc_black_col_coh,puma_hhinc_black_col_unpmom,puma_hhinc_asian_col_marr,puma_hhinc_asian_col_coh,puma_hhinc_asian_col_unpmom,puma_hhinc_other_col_marr,puma_hhinc_other_col_coh,puma_hhinc_other_col_unpmom
Outer Manchester City,3300700,3300400,Outer Manchester City,3300801,2010,new england division,0,400,00400,47.282486,38.658134,0,98.561806,53.805752,52.717514,61.341866,100,1.4381943,46.194248,77.306732,8.2294264,14.46384,75,8.333334,16.666668,11.111112,33.333336,55.555557,,,,93.333336,6.666667,0,91.666672,.89605737,7.4372759,58.823532,5.8823528,35.294117,,,,100,0,0,83.333328,0,16.666668,10.012161,0,98.521263,,0,.032875456,0,,0,0,75600,50000,16000,,122000,125000,173000,,112600,87200,3.8526475,8.3886261,42.414223,0,0,,,,99.618111,,,,0,,,.011170683,,.41851649,0,,0,,,,0,,,0,,,87000,63400,54500,50000,74500,,,,16000,,,,122000,,,130000,,46800,200030,,62000,,,,112600,,,87200,,
Cape May & Atlantic (South Central) Counties--Ocean City & Somers Point City,3402600,3400102,Cape May & Atlantic (South Central) Counties--Ocean City & Somers Point City,3400101,2010,middle atlantic division,1,102,00102,42.344944,7.0277853,3.8960834,49.47422,22.201166,57.655056,92.972214,96.10392,50.52578,77.798836,76.905312,5.0808315,18.013857,51.851852,21.296297,26.851851,16.049381,14.814815,69.135803,100,0,0,55.555557,0,44.444447,86.928108,1.6339871,11.437908,100,0,0,100,0,0,86.36364,0,13.636364,,,,14.0458,34.538101,25.961086,16.617846,20.121984,.96704948,0,14.213173,31.813122,0,70000,39000,37680,50000,31010,93800,67000,130000,37600,186000,5.5649905,35.125862,45.914425,26.124514,10.163193,52.904617,1.5192957,2.5511107,51.143105,16.617846,,,0,,,0,0,26.369541,0,,,14.213173,,,15.967305,,100,0,,,75200,28500,24000,47000,37800,28500,50000,37680,19000,50000,,,31010,,,94100,114800,50000,67000,,,130000,,,37600,,8000,186000,,
Cumberland County (South)--Vineland & Millville Cities,3402400,3402400,Cumberland County (South)--Vineland & Millville Cities,3400102,2010,middle atlantic division,11,2400,02400,38.332378,21.660299,9.8468885,35.562809,40.939529,61.667622,78.339699,90.153114,64.437195,59.060471,74.295776,7.3943658,18.309858,49.532711,23.364487,27.102804,21.73913,8.695652,69.565216,100,0,0,26.666668,60.000004,13.333334,87.692307,2.3076923,10,85.714287,0,14.285715,83.333328,0,16.666668,100,0,0,100,0,0,11.218107,18.795053,85.388992,0,48.966801,2.8942685,0,33.918442,0,0,66700,42500,13100,64500,56000,93800,67000,75000,140000,186000,7.4596858,58.225292,14.974562,22.942482,11.814143,27.87841,98.96949,33.382114,91.96492,0,,,.17486042,,100,0,0,26.572271,0,,,33.920841,,,0,,,0,,,75200,6000,60404,71000,37800,96000,8300,86300,13100,64500,,,79700,,5900,94100,114800,50000,67000,,,75000,,,140000,,,186000,,
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs",3400302,3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs",3400301,2010,middle atlantic division,3,302,00302,73.073486,33.904831,34.628971,55.670082,64.961334,26.926514,66.095169,65.371033,44.329918,35.038666,88.28125,.78125,10.9375,59.375,12.5,28.125,54.166668,8.333334,37.5,93.939392,0,6.060606,77.777779,0,22.222223,93.700783,0,6.2992125,78.181824,7.272727,14.545454,47.368423,5.2631578,47.368423,100,0,0,75,0,25,11.865627,19.930758,9.2830009,.037514985,38.140408,6.7710705,3.1149051,0,4.9691663,0,103600,44000,89600,81600,41000,156700,106000,156000,120000,136350,11.392279,,59.489597,15.014303,.0067824111,52.595741,0,0,28.124947,.029791795,,,69.485298,,.26379636,5.4735246,,44.127075,2.8147063,19.050314,0,0,,0,4.9691663,,,0,,0,103600,,15500,63000,44000,29000,89600,66500,54000,81600,,,26300,,41000,156700,,68000,106000,40000,160900,156000,,72600,120000,,,136350,,197000
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs",3400302,3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights Boroughs",3400302,2010,middle atlantic division,3,302,00302,31.195274,27.431122,85.225761,29.925463,18.415489,68.804726,72.568878,14.774239,70.074539,81.584511,85.333336,2.2222223,12.444445,56.910568,10.569106,32.520325,59.090908,4.5454545,36.363636,95.555557,0,4.4444447,81.25,0,18.75,92.98246,.43859649,6.5789475,82,8,10,35,0,65,95.744682,0,4.2553191,75,0,25,19.372398,13.496315,.025346898,43.323673,57.541187,10.615108,0,0,.037281785,0,72000,48000,85000,132000,3000,110620,117400,48000,70000,117000,18.020878,,27.866899,.050962035,21.566296,34.676586,0,,,37.773281,,100,.0026370042,,99.998123,9.5704737,,30.090607,0,0,0,0,,,.037295442,,,0,,,80000,,45000,53000,50000,25000,85000,,,132000,,10000,65900,,3000,110620,,40000,117400,82000,121000,48000,,,70000,,,117000,,
"Hudson County (North)--West New York, Secaucus & Guttenberg Towns",3400701,3400701,"Hudson County (North)--West New York, Secaucus & Guttenberg Towns",3400303,2010,middle atlantic division,17,701,00701,48.234264,40.93449,68.917671,81.31131,.051678788,51.765736,59.06551,31.082329,18.68869,99.948318,87.5,5,7.5000005,54.421772,12.92517,32.653061,25,25,50,100,0,0,84.615387,0,15.384616,92.105263,0,7.8947363,77.083328,4.166667,18.75,66.666672,33.333336,0,100,0,0,,,,12.576471,18.046827,0,.0056632059,0,0,28.08593,0,8.706316,,56600,98000,65000,91000,41300,80000,112000,170000,109000,,8.8801298,0,60.493828,23.97431,,.17715645,0,0,0,.0056632059,,,0,,0,0,,0,28.679735,58.536583,0,0,0,,8.706316,,,,,,60500,50000,15500,99600,,45000,106000,201000,65000,91000,,,62000,,16000,133000,,68000,122000,32000,91000,170000,86900,,109000,,,,,
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs",3400307,3400304,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs",3400304,2010,middle atlantic division,3,304,00304,44.18829,11.8117,75.790367,65.784462,.56613344,55.81171,88.188301,24.209633,34.215538,99.433868,82.75058,2.5641026,14.685315,65.294113,5.2941179,29.411766,75,0,25,97.826088,0,2.173913,89.473686,0,10.526316,94.706993,.37807184,4.9149337,79.6875,7.8125,12.5,42.857143,0,57.14286,94.405594,0,5.5944057,,,,18.198509,11.407982,0,4.5040011,1.0057753,4.4347706,.022919685,0,3.5251803,,64700,50000,108000,110690,28700,140000,134800,50700,162400,,3.8717368,72.737679,76.515923,9.866291,1.6460978,14.645521,0,,0,4.4376659,,,0,,,4.9620705,0,.055298023,.031233331,0,0,,,0,3.6364927,,.38080007,,,,73000,40400,19600,70000,51400,49320,108000,,73400,110690,,,28700,,,150500,118630,79700,145000,117000,57504,,,50700,166800,,124000,,,
"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs",3400305,3400305,"Bergen County (East)--Tenafly, Park Ridge & Cresskill Boroughs",3400305,2010,middle atlantic division,3,305,00305,72.759933,36.598587,33.78088,68.552765,87.116508,27.240067,63.401413,66.219116,31.447235,12.883492,84.064659,2.3094687,13.625866,68.609863,8.5201788,22.869955,55.319149,8.5106382,36.170212,100,0,0,80,0,20,95.833328,.20833334,3.9583333,79.850746,4.477612,15.671642,45.238094,2.3809524,52.380955,95.66787,.36101082,3.9711192,85.714287,0,14.285715,14.06414,18.699125,8.4434261,3.7756953,50.297665,1.2458334,4.5270023,0,16.033661,0,103600,68920,89600,87000,26300,178000,130000,156000,105000,84200,10.045195,.70393896,31.51244,17.353661,0,49.418659,0,0,28.540442,3.7756953,,,97.630981,,.3872225,1.0609323,,8.3842583,5.5032673,.41656351,0,0,,0,13.830723,,51.981552,0,,0,106800,186700,30000,85590,44000,46400,89600,66500,54000,87000,,,26300,,41000,180000,,91600,134000,40000,104000,156000,,72600,125000,,17400,84200,,197000
"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs",3400308,3400305,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood Boroughs",3400306,2010,middle atlantic division,3,305,00305,70.779671,76.346436,78.627213,74.408005,69.791412,29.220329,23.653564,21.372787,25.591995,30.208588,85.989014,2.7472527,11.263737,76,3,21,50,33.333336,16.666668,100,0,0,84.615387,0,15.384616,95.362663,.35671821,4.2806182,89.473686,2.6315789,7.8947363,69.230774,0,30.769232,94.382027,1.1235955,4.4943819,100,0,0,10.21759,.24274944,0,11.307885,23.718435,1.4665601,.014982464,0,9.2053776,0,126100,130000,60000,145300,107000,163100,198200,200000,206250,237070,7.6138115,.20878506,62.697189,.20655885,,,,0,,11.307885,,,0,,100,1.5844511,0,0,.014989658,,,0,,,7.1848907,0,99.174973,0,,,135000,65000,10000,130000,,,,60000,,145300,,,107000,,52800,172000,149400,81650,198200,,,200000,,,240200,173000,0,237070,,
"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs",3400307,3400305,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford Boroughs",3400307,2010,middle atlantic division,3,305,00305,56.462318,18.446945,69.501434,68.637039,39.485512,43.537682,81.553055,30.498566,31.362961,60.514488,82.841827,2.6809652,14.477211,67.664673,6.8862276,25.449102,59.183674,6.1224489,34.693878,100,0,0,86.95652,0,13.043478,95.55085,.28248587,4.166667,80.368095,4.9079752,14.723927,40,0,60.000004,94.520546,.2739726,5.2054796,88.235298,0,11.764706,17.140038,12.440379,.246445,4.2652936,.13383612,2.1469736,4.0706348,0,11.430132,0,73000,51000,108000,100100,28700,159000,134800,50700,125000,74000,5.3786764,69.659775,59.816288,12.020517,0,14.295991,0,,.93803871,4.2652936,,,.073778883,,,2.2861392,0,.022861309,5.3426709,0,0,0,,0,10.045974,,37.890606,0,,,78000,40400,24000,85590,70500,46400,108000,,73400,100100,,,28700,,,163000,118630,79700,151490,117000,68300,512000,,50700,134600,,39000,74000,,
