pumaname,puma12ID,puma2kID,puma12name,pumaID,year,region,countyfip,puma,puma_str,puma_shcollege_white,puma_shcollege_hispanic,puma_shcollege_black,puma_shcollege_asian,puma_shcollege_other,puma_shnoncollege_white,puma_shnoncollege_hispanic,puma_shnoncollege_black,puma_shnoncollege_asian,puma_shnoncollege_other,puma_shmarr_white_noncol,puma_shcoh_white_noncol,puma_shunpmom_white_noncol,puma_shmarr_hispanic_noncol,puma_shcoh_hispanic_noncol,puma_shunpmom_hispanic_noncol,puma_shmarr_black_noncol,puma_shcoh_black_noncol,puma_shunpmom_black_noncol,puma_shmarr_asian_noncol,puma_shcoh_asian_noncol,puma_shunpmom_asian_noncol,puma_shmarr_other_noncol,puma_shcoh_other_noncol,puma_shunpmom_other_noncol,puma_shmarr_white_col,puma_shcoh_white_col,puma_shunpmom_white_col,puma_shmarr_hispanic_col,puma_shcoh_hispanic_col,puma_shunpmom_hispanic_col,puma_shmarr_black_col,puma_shcoh_black_col,puma_shunpmom_black_col,puma_shmarr_asian_col,puma_shcoh_asian_col,puma_shunpmom_asian_col,puma_shmarr_other_col,puma_shcoh_other_col,puma_shunpmom_other_col,puma_shpov_white_noncol,puma_shpov_hispanic_noncol,puma_shpov_black_noncol,puma_shpov_asian_noncol,puma_shpov_other_noncol,puma_shpov_white_col,puma_shpov_hispanic_col,puma_shpov_black_col,puma_shpov_asian_col,puma_shpov_other_col,puma_hhinc_white_noncol,puma_hhinc_hispanic_noncol,puma_hhinc_black_noncol,puma_hhinc_asian_noncol,puma_hhinc_other_noncol,puma_hhinc_white_col,puma_hhinc_hispanic_col,puma_hhinc_black_col,puma_hhinc_asian_col,puma_hhinc_other_col,puma_shpov_white_noncol_marr,puma_shpov_white_noncol_coh,puma_shpov_white_noncol_unpmom,puma_shpov_hisp_noncol_marr,puma_shpov_hisp_noncol_coh,puma_shpov_hisp_noncol_unpmom,puma_shpov_black_noncol_marr,puma_shpov_black_noncol_coh,puma_shpov_black_noncol_unpmom,puma_shpov_asian_noncol_marr,puma_shpov_asian_noncol_coh,puma_shpov_asian_noncol_unpmom,puma_shpov_other_noncol_marr,puma_shpov_other_noncol_coh,puma_shpov_other_noncol_unpmom,puma_shpov_white_col_marr,puma_shpov_white_col_coh,puma_shpov_white_col_unpmom,puma_shpov_hisp_col_marr,puma_shpov_hisp_col_coh,puma_shpov_hisp_col_unpmom,puma_shpov_black_col_marr,puma_shpov_black_col_coh,puma_shpov_black_col_unpmom,puma_shpov_asian_col_marr,puma_shpov_asian_col_coh,puma_shpov_asian_col_unpmom,puma_shpov_other_col_marr,puma_shpov_other_col_coh,puma_shpov_other_col_unpmom,puma_hhinc_white_noncol_marr,puma_hhinc_white_noncol_coh,puma_hhinc_white_noncol_unpmom,puma_hhinc_hisp_noncol_marr,puma_hhinc_hisp_noncol_coh,puma_hhinc_hisp_noncol_unpmom,puma_hhinc_black_noncol_marr,puma_hhinc_black_noncol_coh,puma_hhinc_black_noncol_unpmom,puma_hhinc_asian_noncol_marr,puma_hhinc_asian_noncol_coh,puma_hhinc_asian_noncol_unpmom,puma_hhinc_other_noncol_marr,puma_hhinc_other_noncol_coh,puma_hhinc_other_noncol_unpmom,puma_hhinc_white_col_marr,puma_hhinc_white_col_coh,puma_hhinc_white_col_unpmom,puma_hhinc_hisp_col_marr,puma_hhinc_hisp_col_coh,puma_hhinc_hisp_col_unpmom,puma_hhinc_black_col_marr,puma_hhinc_black_col_coh,puma_hhinc_black_col_unpmom,puma_hhinc_asian_col_marr,puma_hhinc_asian_col_coh,puma_hhinc_asian_col_unpmom,puma_hhinc_other_col_marr,puma_hhinc_other_col_coh,puma_hhinc_other_col_unpmom
"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",0100100,2010,east south central div,0,100,00100,21.26886,0,10.883005,100,3.3426185,78.73114,100,89.116997,0,96.657379,75.244301,4.2345276,20.521173,40,40,20,21.839081,8.0459776,70.114937,,,,100,0,0,96.202538,0,3.7974682,,,,37.5,0,62.5,100,0,0,,,,18.793949,18.734308,51.657867,,11.527377,1.0631588,,0,0,,46900,22200,15000,,30000,93060,,56300,182000,,8.0850792,21.16527,47.076797,21.512718,0,100,24.881592,11.516315,58.020939,,,,11.527377,,,1.092186,,0,,,,0,,0,0,,,,,,54000,105000,18000,73000,22200,7220,40200,69600,14500,,,,30000,,,93060,,25000,,,,65000,,24400,182000,,,,,
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100300,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,2010,east south central div,0,300,00300,37.336273,10.487714,42.108814,48.948696,65.614548,62.663727,89.512283,57.891186,51.051304,34.385452,71.906349,6.6889629,21.404682,89.189186,8.1081076,2.7027028,34.444447,8.8888893,56.666668,100,0,0,66.666672,0,33.333336,92.775665,0,7.2243347,0,0,100,58.333332,0,41.666664,100,0,0,100,0,0,14.362764,27.04966,13.523832,0,35.448902,1.4078621,0,.51696926,47.244984,16.60079,58000,39600,55000,69500,18700,116400,110000,144100,118000,78300,4.1426468,61.595131,27.629295,29.457771,0,,0,,35.288601,0,,,13.1367,,63.276833,1.4746929,,.61818886,,,0,0,,1.6567862,47.244984,,,16.60079,,,81000,22500,25000,39600,94000,,65170,,25000,69500,,,86000,,0,119100,,52000,,,110000,161000,,71900,118000,,,78300,,
Morgan & Lawrence Counties--Decatur City,0100600,0100600,Morgan & Lawrence Counties--Decatur City,0100300,2010,east south central div,0,600,00600,20.584978,2.1759403,1.3615733,51.351349,46.325878,79.415024,97.824059,98.638428,48.648651,53.674122,72.903229,3.8709679,23.225807,70,25,5,16.32653,2.0408163,81.632652,100,0,0,55.555557,11.111112,33.333336,96.491226,0,3.5087719,100,0,0,0,0,100,0,0,100,66.666672,33.333336,0,9.3909807,0,23.977505,100,0,5.1813474,100,100,0,0,62400,56900,15600,5000,60600,101500,21000,20000,36000,87500,3.8174863,10.256411,34.947685,0,0,,32.440479,0,23.658676,100,,,0,0,0,0,,100,100,,,,,100,,,0,0,0,,69500,37400,19600,56900,31300,,22000,22260,15000,5000,,,60600,31400,57050,108000,,15000,21000,,,,,20000,,,36000,87500,91200,
Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100500,0100300,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),0100401,2010,east south central div,0,300,00300,33.405365,7.3753128,42.224564,49.69669,56.136738,66.594635,92.624687,57.775436,50.30331,43.863262,71.360382,5.8472557,22.792362,87.931038,6.8965516,5.1724138,34.444447,8.8888893,56.666668,100,0,0,58.333332,4.166667,37.5,92.201042,0,7.7989602,0,0,100,59.459461,0,40.540539,100,0,0,100,0,0,15.532659,22.233477,14.133517,0,29.430502,1.2990959,0,.69775736,45.852085,16.60079,49500,39600,52000,69500,18700,116200,110000,144100,118000,78300,4.5982075,56.669529,34.448807,22.258198,0,52.936691,0,9.999999,35.343285,0,,,9.6495705,,56.369858,1.3473766,,.75836349,,,0,0,,2.3000712,45.852085,,,16.60079,,,67800,22500,25000,39600,94000,15000,65170,32300,24000,69500,,,79000,,11400,116400,,40000,,,110000,161000,,71900,118000,,,78300,,
Huntsville (North) & Madison (East) Cities,0100301,0100300,Huntsville (North) & Madison (East) Cities,0100402,2010,east south central div,0,300,00300,43.510658,6.8345466,31.121767,65.582016,59.515934,56.489342,93.165451,68.878235,34.417984,40.484066,71.906349,6.6889629,21.404682,89.189186,8.1081076,2.7027028,34.444447,8.8888893,56.666668,100,0,0,66.666672,0,33.333336,92.775665,0,7.2243347,0,0,100,58.333332,0,41.666664,100,0,0,100,0,0,17.399334,26.69931,21.979193,0,27.310303,1.2194401,0,4.9425626,23.773367,16.60079,52000,39600,31200,69500,26000,111600,110000,144100,128000,78300,4.0815139,49.217072,41.530563,27.517471,0,100,0,10,35.801651,0,,,8.5472946,,63.276833,.88029432,,4.8194032,,,0,0,,14.493529,23.773367,,,16.60079,,,79980,22500,18300,39600,94000,2100,72000,32300,14000,69500,,,79000,,0,114000,,42000,,,110000,150000,,71900,128000,,,78300,,
Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100200,0100300,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),0100403,2010,east south central div,0,300,00300,56.082237,.18825379,20.969795,98.961494,5.5596776,43.917763,99.811745,79.030205,1.0385056,94.440323,71.503952,6.0686016,22.427441,88.235298,7.1895428,4.5751634,34.444447,8.8888893,56.666668,,,,60.606064,3.030303,36.363636,92.380951,0,7.6190481,,,,59.090908,0,40.909092,100,0,0,,,,26.621279,25.746357,27.720505,,2.0209801,.94920599,,13.169199,.47536948,,42000,39600,25000,,26000,88000,,98800,128000,,3.9403543,23.686813,73.381676,23.777941,0,96.154831,0,10,35.985107,,,,.23569486,,,.021512782,,9.5236139,,,,0,,33.406845,.47536948,,,,,,68000,46000,8600,106300,36500,2100,72000,32300,14000,,,,26000,,,91200,,41000,,,,150000,,47900,128000,,,,,
Huntsville City (Central & South),0100302,0100300,Huntsville City (Central & South),0100501,2010,east south central div,0,300,00300,19.10041,.82951719,43.558056,63.813919,11.59667,80.89959,99.170486,56.441944,36.186081,88.403328,71.360382,5.8472557,22.792362,87.931038,6.8965516,5.1724138,34.444447,8.8888893,56.666668,,,,58.333332,4.166667,37.5,92.201042,0,7.7989602,,,,59.459461,0,40.540539,100,0,0,,,,18.831192,13.091572,21.410774,0,18.429146,.52522343,,2.7320144,25.68716,16.60079,40000,41000,32300,69500,18700,91200,,100000,128000,78300,5.9142003,19.891361,48.89064,7.3378997,0,51.546432,0,10,35.778648,0,,,1.1974498,,42.920139,.40876237,,1.4673835,,,,0,,13.261573,25.68716,,,16.60079,,,45000,26600,13900,41000,24000,15000,72000,32300,14000,69500,,,18700,,58000,92000,,40000,,,,100000,,71900,128000,,,78300,,
DeKalb & Jackson Counties,0100400,0100400,DeKalb & Jackson Counties,0100600,2010,east south central div,0,400,00400,15.249056,0,0,,76.998772,84.750946,100,100,,23.001228,72.398193,1.3574661,26.244345,92.307693,0,7.6923079,12.5,0,87.5,,,,50,50,0,88.461533,1.923077,9.6153851,,,,,,,,,,0,0,100,27.318058,37.081905,53.544498,,14.973262,.67806602,,,,0,32400,30000,870,,552000,90600,,,,43000,12.789557,0,64.919205,40.263084,,0,0,,58.196724,,,,0,,,.72418135,,0,,,,,,,,,,,,0,43040,106000,27300,30800,,16500,67200,,870,,,,552000,,,90600,,31000,,,,,,,,,,,,43000
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0101000,0101100,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0100700,2010,east south central div,0,1100,01100,20.815813,0,5.4013786,0,0,79.184189,100,94.598618,100,100,72.549019,6.5359483,20.915033,90.909096,0,9.090909,31.460676,5.6179776,62.921352,66.666672,33.333336,0,,,,92.40506,1.2658228,6.329114,,,,41.666664,0,58.333332,,,,,,,17.508034,0,27.149466,0,94.237289,3.0934446,,18.04286,,,36000,42000,20400,66000,15500,70000,,38700,,,8.0254107,13.56626,50.894684,0,,,1.251716,0,39.502068,,0,,94.237289,,,0,100,0,,,,22.265625,,13.234009,,,,,,,43300,18800,15000,42000,,,25100,36500,16000,,66000,,15500,,,70000,150050,69800,,,,38700,,49000,,,,,,
Calhoun County,0101100,0101100,Calhoun County,0100800,2010,east south central div,0,1100,01100,14.347037,5.1666665,19.980711,,0,85.652962,94.833336,80.019287,,100,70.065788,5.2631578,24.671053,81.818184,9.090909,9.090909,26.595745,5.319149,68.085106,,,,66.666672,0,33.333336,89.655174,0,10.344828,0,0,100,30.769232,23.076923,46.153847,,,,,,,9.3597803,52.28471,73.764565,,0,0,0,0,,,50000,13500,8500,,136800,100000,25400,65000,,,8.9449081,0,11.43883,54.387569,,,11.688312,,80.115143,,,,0,,0,0,,0,,,0,0,0,0,,,,,,,65900,72000,25000,13500,,,80120,,8500,,,,136800,,51100,103000,,89300,,,25400,71000,83000,56400,,,,,,
St. Clair & Blount Counties,0100800,0100800,St. Clair & Blount Counties,0100900,2010,east south central div,0,800,00800,15.254754,5.5461235,6.7563338,,0,84.745247,94.453873,93.243668,,100,71.523178,4.8565125,23.62031,38.888889,16.666668,44.444447,30.434782,8.695652,60.869564,,,,100,0,0,82.56881,3.6697247,13.761468,100,0,0,63.333332,0,36.666668,,,,,,,20.575054,16.297184,6.4072461,,0,0,0,42.592594,,,45000,22000,35300,,35300,83000,50000,150300,,,13.87651,24.725275,46.684395,0,0,75.34626,0,0,10.864619,,,,0,,,0,0,0,0,,,0,,100,,,,,,,49100,68000,28650,22000,39500,7800,35300,31000,107000,,,,35300,,,84110,61530,37500,50000,,,150300,,1000,,,,,,
Cullman & Winston Counties,0100700,0100500,Cullman & Winston Counties,0101000,2010,east south central div,0,500,00500,13.981247,.38800764,28.160542,,.11239733,86.018753,99.611992,71.839462,,99.887604,73.757462,4.8707752,21.371769,64.935066,16.883118,18.181818,20.945946,11.486486,67.567566,,,,73.333336,6.666667,20,90.909096,1.8181818,7.272727,,,,41.379311,0,58.620689,,,,,,,19.132658,12.582016,42.734276,,16.853895,.067385301,,1.4753145,,,40000,41000,16000,,18700,83000,,100000,,,7.5248046,10.428662,48.522465,5.3023567,0,55.421005,12.170003,6.7383637,55.31118,,,,.86744332,0,41.311474,.076098539,,0,,,,0,,6.6195683,,,,,,,45000,34000,14000,41100,22200,15000,35300,69600,15000,,,,18700,27100,58000,88000,,40000,,,,100000,,56300,,,,,,
"Walker, Marion (South & West), Fayette & Lamar Counties",0101400,0100800,"Walker, Marion (South & West), Fayette & Lamar Counties",0101100,2010,east south central div,0,800,00800,22.605385,2.1945844,10.314142,0,5.6849537,77.394615,97.805412,89.68586,100,94.315048,76.901405,4.9765258,18.122065,40.384613,28.846153,30.769232,25.820568,8.5339165,65.645515,100,0,0,78.571426,0,21.428572,90.967743,2.2580645,6.7741938,,,,52.238804,2.9850745,44.776119,,,,,,,13.073875,25.199245,45.952503,0,79.640572,5.4888086,,9.5250511,,,45004,22200,17000,94050,3500,86400,,92000,,,8.5346441,15.243273,26.504124,21.593956,0,88.695427,15.229978,73.106125,51.659958,0,,,79.640572,,,4.8852758,,17.458136,,,,0,0,28.400431,,,,,,,57000,35000,19000,22000,22200,7800,35300,10000,11300,94050,,,3500,,,89000,,37500,,,,147000,95000,24000,,,,,,
Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),0101500,0101400,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),0101201,2010,east south central div,125,1400,01400,36.276939,0,15.146894,0,22.757111,63.723061,100,84.853104,100,77.242889,85.023041,3.9170508,11.059908,56.521736,17.391304,26.086956,27.027025,10.36036,62.61261,100,0,0,100,0,0,89.406784,2.5423727,8.050848,,,,67.85714,0,32.142857,,,,,,,10.608501,37.315636,39.531689,0,62.039661,7.1247072,,5.6900582,,100,57300,22200,20600,94050,14300,108010,,50000,,17500,5.0320187,47.706284,35.27964,27.34259,0,100,1.4493296,57.177715,53.736008,0,,,62.039661,,,3.7227664,53.435116,54.461861,,,,0,,15.074095,,,,,,100,64000,34000,28900,60800,22200,8000,50800,17420,15300,94050,,,14300,,,108700,11200,17400,,,,69200,,50000,,,,,,17500
Tuscaloosa & Northport (Southeast) Cities,0101600,0101400,Tuscaloosa & Northport (Southeast) Cities,0101202,2010,east south central div,125,1400,01400,43.358089,0,15.624658,0,22.757111,56.641911,100,84.375343,100,77.242889,85.023041,3.9170508,11.059908,56.521736,17.391304,26.086956,27.027025,10.36036,62.61261,100,0,0,100,0,0,89.406784,2.5423727,8.050848,,,,67.85714,0,32.142857,,,,0,0,100,7.3307567,41.093876,37.43993,0,62.039661,7.7563787,,6.4967384,,100,64000,60800,23804,94050,14300,108010,,50000,,17500,1.737071,53.390957,45.812042,22.552052,,100,.052306417,62.77721,50.976215,0,,,62.039661,,,4.0743527,53.435116,55.425339,,,,0,,20.406519,,,,,,100,71900,30000,28900,60800,,8000,60000,17420,15800,94050,,,14300,,,108700,11200,17400,,,,69200,,50000,,,,,,17500
"Walker, Marion (South & West), Fayette & Lamar Counties",0101400,0100800,"Walker, Marion (South & West), Fayette & Lamar Counties",0101301,2010,east south central div,0,800,00800,15.338528,4.5158701,14.00928,,73.622589,84.661469,95.484131,85.990723,,26.377411,73.095627,5.0243115,21.880064,37.037037,25.925926,37.037037,27.95031,10.559006,61.490685,,,,,,,85.611511,2.8776979,11.510792,100,0,0,55.263157,0,44.736843,,,,100,0,0,21.213076,18.22875,29.745495,,,0,0,3.6296661,,0,45004,22000,28260,,,86000,65900,56300,,50600,10.569663,27.693161,51.878624,13.412825,0,45.57737,14.332525,3.5973721,39.740406,,,,,,,0,0,0,0,,,0,,6.9663706,,,,0,,,55000,34000,20700,20000,22200,15000,48000,58000,22500,,,,,,,96000,61530,57300,65900,,,103800,,51200,,,,50600,,
Shelby County,0101200,0101300,Shelby County,0101401,2010,east south central div,117,1300,01300,52.647709,24.158421,30.685368,50.411808,0,47.352291,75.841583,69.314636,49.588192,100,75,2.8688524,22.131147,91.666672,8.333334,0,37.16814,5.7522125,57.079651,100,0,0,,,,89.558235,0,10.441768,100,0,0,75.409836,0,24.590164,40,0,60.000004,,,,20.052706,99.194023,24.039762,0,0,16.035593,0,.057809114,0,,36400,5720,23500,40000,74100,88000,96300,78300,121610,,4.2674241,93.023544,24.109592,99.191223,,,22.183363,17.476122,26.974472,0,,,0,,,9.3717966,,98.862671,0,,,.041561749,,.089067124,0,,,,,,75000,4800,29220,5720,,,65900,41000,16200,40000,,,74100,,,95000,,12000,96300,,,106000,,78300,121610,,,,,
"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",0101304,0100904,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",0101402,2010,east south central div,73,904,00904,17.637592,11.516508,15.591259,0,99.815254,82.362411,88.48349,84.408737,100,.18474579,71.523178,4.8565125,23.62031,38.888889,16.666668,44.444447,30.434782,8.695652,60.869564,100,0,0,,,,82.56881,3.6697247,13.761468,100,0,0,63.333332,0,36.666668,,,,100,0,0,25.195265,.32851297,23.939314,0,,0,0,2.6598651,,0,48000,19700,31200,93000,,87400,113000,62000,,50600,2.793349,10.122194,70.004509,,,.33378598,16.14761,0,30.250072,0,,,,,,0,,0,0,,,0,,6.1106625,,,,0,,,72720,33500,12300,,,19700,75200,41300,28000,93000,,,,,,105000,,57300,113000,,,103800,,47500,,,,50600,,
Birmingham City (East),0101302,0100904,Birmingham City (East),0101403,2010,east south central div,73,904,00904,43.790962,.81349492,6.9076219,88.490311,98.514091,56.209038,99.186508,93.092377,11.509689,1.4859085,71.034485,4.8275862,24.13793,69.230774,0,30.769232,30.463577,6.8432674,62.693153,,,,,,,94.055199,.42462847,5.5201697,,,,57.377045,0,42.622952,91.666672,0,8.333334,,,,30.358347,36.59433,33.524384,,,.018805215,,19.18693,0,0,37000,36400,21400,,,132000,,85000,179000,50600,18.939148,81.617188,52.920479,63.70879,,0,11.771439,47.904072,42.080898,,,,,,,.0083264587,0,.1392642,,,,13.53576,,28.5177,0,,,0,,,50000,13100,21080,10400,,94320,29000,29600,17160,,,,,,,189000,33500,79200,,,,115000,,52000,179000,,,50600,,
Birmingham City (East),0101302,0100903,Birmingham City (East),0101404,2010,east south central div,73,903,00903,71.634445,.059830032,8.5902243,82.861801,51.528679,28.365555,99.94017,91.409775,17.138199,48.471321,74.309982,3.6093419,22.080679,78.873238,4.2253518,16.901407,30.833334,8.6111116,60.555553,100,0,0,25,0,75,92.113098,.29761904,7.5892859,,,,64.556961,0,35.443039,81.481483,0,18.518518,100,0,0,20.930176,.31069073,33.404507,99.986198,0,1.7920103,,.14291437,0,0,57400,24000,31460,1000,69800,118800,,78300,85000,118300,15.09059,45.587303,37.010418,.27515689,,0,6.7996559,2.8191211,51.170151,99.986198,,,,,0,.72892815,,28.834969,,,,.1840573,,.024924701,0,,0,0,,,64500,35000,33000,34800,,24000,55300,22000,14430,1000,,,,,69800,120000,,38500,,,,78300,,138000,85000,,58000,118300,,
"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",0101303,0100903,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",0101501,2010,east south central div,73,903,00903,51.180065,9.4490242,42.071075,99.804344,.33205765,48.819935,90.55098,57.928925,.19565582,99.667946,74.592834,3.9087946,21.498371,84.905663,5.6603775,9.4339628,35.779816,8.7155962,55.504585,,,,57.14286,0,42.857143,92.391304,.2173913,7.3913045,100,0,0,69.696968,0,30.303032,76.470589,0,23.529411,,,,11.188554,54.634125,35.628029,,0,5.5218844,0,2.6869466,0,,69300,32000,24800,,90000,97500,76000,52000,60000,,.66086352,.46764052,47.106331,43.914505,100,,20.118437,.078707218,57.284119,,,,0,,,2.2789588,,22.919693,0,,,3.0377417,,0,,,0,,,,75000,159000,16900,32000,12000,,79000,24800,10900,,,,90000,,,100000,,46000,76000,,,49100,,93900,,,60000,,,
"Chilton, Tallapoosa, Chambers & Coosa Counties",0101800,0101600,"Chilton, Tallapoosa, Chambers & Coosa Counties",0101502,2010,east south central div,0,1600,01600,39.656696,6.474545,31.678492,100,0,60.343304,93.525452,68.32151,0,100,72.666672,5.7777777,21.555555,90.196075,5.8823528,3.9215689,27.091635,7.5697212,65.338646,,,,100,0,0,88.275864,1.0344827,10.689655,100,0,0,73.584908,3.7735848,22.64151,57.14286,0,42.857143,,,,13.179779,42.510326,39.359295,,0,4.8849287,0,1.808242,0,,52000,28000,22200,,90000,94000,76000,49100,60000,,4.4235191,6.7175736,37.343159,35.526054,100,0,34.53474,0,56.030792,,,,0,,,2.0210381,,19.886953,0,,,2.3131008,,0,0,,0,,,,71300,50000,16900,28000,12000,44000,50100,24800,10900,,,,90000,,,97500,,58440,76000,,,50000,,49000,120400,,60000,,,
"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0101000,0101100,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",0101600,2010,east south central div,0,1100,01100,12.83687,0,16.902685,0,0,87.163132,100,83.097313,100,100,70.918365,6.6326528,22.448978,75,0,25,31.666666,8.333334,60.000004,100,0,0,100,0,0,96.774193,0,3.2258062,,,,45.454548,0,54.545456,,,,,,,17.196913,0,10.988411,0,94.237289,0,,23.257374,,,37500,62900,27000,86500,15500,115000,,38700,,,4.9263282,42.302261,41.923149,,,0,6.2660499,0,15.932915,0,,,94.237289,,,0,,0,,,,22.265625,,25.427351,,,,,,,46100,17100,30000,,,62900,33100,36500,17200,86500,,,15500,,,115000,,40000,,,,38700,,44000,,,,,,
"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",0101700,0101500,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",0101700,2010,east south central div,0,1500,01500,33.481125,3.0500066,14.295928,51.253521,10.105767,66.518875,96.949997,85.704071,48.746479,89.894234,75.621117,4.6583848,19.720497,46.153847,30.769232,23.076923,27.470688,7.3701844,65.159134,,,,45.454548,0,54.545456,87.837837,1.6891891,10.472973,,,,55.294121,9.4117651,35.294117,,,,,,,11.103028,10.495028,39.446606,,85.923264,3.8954608,,5.0624661,0,,62000,29350,20000,,3500,87700,,95000,85500,,9.4941454,15.952132,15.02574,4.5678201,8.5869198,,19.035759,60.338593,45.744831,,,,95.284363,,,2.9518168,0,12.57468,,,,0,0,19.191277,0,,,,,,71000,35000,32100,34330,29350,,35800,16800,15600,,,,3500,,,86400,130000,171200,,,,120000,95000,36000,85500,,,,,
Montgomery City & Pike Road Town (North),0102000,0101900,Montgomery City & Pike Road Town (North),0101801,2010,east south central div,0,1900,01900,58.372902,29.575739,12.124124,14.715983,,41.627098,70.424263,87.875877,85.284019,,77.543861,5.7894735,16.666668,64.285713,28.57143,7.1428576,27.208481,9.8939934,62.897526,100,0,0,,,,84.754524,2.5839794,12.661499,50,50,0,57.758625,9.4827585,32.758621,100,0,0,,,,16.593611,56.429958,31.73702,27.270245,,6.1775618,0,8.4601812,0,,68000,14000,27400,45800,,111000,57400,86000,77900,,9.2002201,75.290108,15.040795,0,93.592194,,7.3478236,34.031944,39.788269,27.270245,,,,,,.17466113,,47.711994,0,0,,0,0,21.545267,0,,,,,,72000,52900,33900,65000,14000,,76800,43800,20100,45800,,,,,,116400,,50400,120100,57400,,120000,41400,58000,77900,,,,,
Montgomery City & Pike Road Town (North),0102000,0101900,Montgomery City & Pike Road Town (North),0101802,2010,east south central div,0,1900,01900,56.401901,28.671255,12.334584,15.090558,,43.598099,71.328743,87.665413,84.909439,,77.543861,5.7894735,16.666668,64.285713,28.57143,7.1428576,27.208481,9.8939934,62.897526,100,0,0,,,,84.754524,2.5839794,12.661499,50,50,0,57.758625,9.4827585,32.758621,100,0,0,,,,16.070923,54.128922,31.593409,27.22748,,5.9849329,0,8.1761856,0,,67000,14000,27400,45800,,111000,57400,86000,77900,,9.5172882,72.365501,14.564246,0,90.592735,,7.7842703,33.882858,39.629753,27.22748,,,,,,.25068903,,45.622723,0,0,,0,0,21.110798,0,,,,,,72000,52900,33900,65000,14000,,76800,43800,20100,45800,,,,,,116400,,50400,120100,57400,,120000,41400,58000,77900,,,,,
"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",0102100,0101900,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",0101901,2010,east south central div,0,1900,01900,36.82597,3.5653095,22.125145,51.253521,,63.17403,96.434692,77.874855,48.746479,,76.854599,5.0445104,18.100891,60.000004,26.666668,13.333334,27.761194,8.955224,63.283581,100,0,0,,,,85.167465,2.3923445,12.440191,,,,59.016396,9.8360653,31.147539,100,0,0,,,,12.650212,7.4856868,24.05476,20.004337,,2.9523368,,.93662488,0,,65000,32000,40000,45800,,89000,,116000,85500,,11.637815,29.53611,12.705493,0,10.811446,,19.779573,24.497484,27.925386,20.004337,,,,,,1.4907055,0,13.253071,,,,0,,3.7408926,0,,,,,,71900,58770,41000,34330,29350,,40000,54700,28600,45800,,,,,,87700,130000,171200,,,,120000,,45000,85500,,,,,
"Chilton, Tallapoosa, Chambers & Coosa Counties",0101800,0101800,"Chilton, Tallapoosa, Chambers & Coosa Counties",0102000,2010,east south central div,0,1800,01800,17.137857,10.045572,17.348839,86.317604,,82.862144,89.95443,82.651161,13.682396,,68.788498,8.6242304,22.587269,90.909096,0,9.090909,22.747747,6.3063064,70.945946,100,0,0,,,,90.421455,3.065134,6.5134101,100,0,0,67.796616,6.7796612,25.423729,100,0,0,,,,15.426749,17.60911,37.39286,0,,0,0,0,0,,42000,28000,20900,45000,,70000,158000,50000,120400,,10.067376,11.409656,27.942961,19.541941,,0,33.345802,8.8998079,43.951199,0,,,,,,0,,0,0,,,0,,0,0,,,,,,50900,47400,20800,28000,,44000,29000,34500,13000,45000,,,,,,73500,,58440,158000,,,71400,,49000,120400,,,,,
Lee County--Auburn City,0101900,0101700,Lee County--Auburn City,0102101,2010,east south central div,81,1700,01700,43.228821,0,20.122631,87.175041,,56.771179,100,79.877365,12.824959,,70,8.636364,21.363636,93.333336,0,6.666667,20.179371,5.8295965,73.991028,100,0,0,,,,90.697678,2.9069769,6.395349,,,,71.875,6.25,21.875,100,0,0,,,,12.739915,41.77449,40.89323,0,,0,,0,0,,51000,44300,15200,55000,,102000,,89600,70000,,5.219893,0,39.148937,43.047619,,,0,0,53.050877,0,,,,,,0,0,0,,,,0,,0,0,,,,,,53700,50000,30400,44300,,,60460,23420,13300,55000,,,,,,103000,47000,46800,,,,89600,,42700,70000,,,,,
