year,region,state_name,statefip,state_shmarried,state_shcohabit,state_shunpmom,state_shunpdad,state_shneither,state_povrate,state_shpov_mar,state_shpov_coh,state_shpov_unpmom,state_shpov_unpdad,state_shpov_neither,state_hhinc,state_hhinc_mar,state_hhinc_coh,state_hhinc_unpmom,state_hhinc_unpdad,state_hhinc_neither
2010,middle atlantic division,Pennsylvania,pennsylvania,64.806732,6.9576135,21.738993,3.791913,2.7047455,14.14493,5.86062,18.374811,34.985798,19.279503,27.055517,60600,78000,45350,26000,42000,40500
2010,new england division,Rhode Island,rhode island,61.982582,8.1769485,24.937073,2.8839004,2.0194917,14.458468,7.1102886,18.38199,30.392614,11.601181,31.426037,65000,86000,48200,27200,42400,48400
2010,south atlantic division,South Carolina,south carolina,55.820145,6.3155184,28.56431,4.0579476,5.242084,18.765978,6.7096329,25.349691,39.122299,23.395304,24.709694,47000,68000,35600,22500,35900,32000
2010,west north central div,South Dakota,south dakota,67.378349,8.6386156,16.706442,4.8399081,2.4366841,10.40659,4.9156146,11.887674,27.418119,16.866611,27.524233,59300,70000,46000,22800,42000,52500
2010,east south central div,Tennessee,tennessee,60.482971,6.2408023,24.872355,3.7466507,4.6572185,18.247036,9.2158365,23.013378,37.17223,18.790543,27.638409,46300,63000,33500,23000,39000,33350
2010,west south central div,Texas,texas,62.586517,6.1431165,23.681753,3.7674181,3.821193,19.074286,10.89765,24.564327,37.256683,19.070454,31.490454,50000,65000,40000,25500,45800,37400
2010,mountain division,Utah,utah,78.02771,3.2814372,12.66107,3.1025901,2.9271977,11.010676,6.5235519,18.259985,33.215996,18.685276,18.313793,62700,69000,48700,32000,42000,54800
2010,new england division,Vermont,vermont,62.867676,9.2044735,20.121281,4.3292389,3.4773316,8.6530571,3.4517591,11.846866,21.415649,11.001789,17.461023,60000,76800,41400,26300,45000,55600
2010,south atlantic division,Virginia,virginia,65.810265,4.7170882,22.133137,3.8688507,3.4706631,14.671996,6.6687427,25.773573,32.87072,22.024042,27.087587,72000,92200,47000,30300,54500,46500
2010,pacific division,Washington,washington,68.194366,7.1697383,17.30101,4.218327,3.11656,14.785775,8.2171707,23.278402,33.398895,18.026152,31.264587,64000,77700,45000,30000,48000,52820
2010,south atlantic division,West Virginia,west virginia,64.022842,7.6772809,18.400627,4.752851,5.1464038,14.314291,6.9509535,23.201927,31.190285,16.494959,30.305178,47000,62600,33000,21400,38300,26100
2010,east north central div,Wisconsin,wisconsin,67.243065,7.9811559,17.975435,4.3450546,2.4552891,11.599365,4.5847192,17.241997,30.455584,22.20723,28.546936,60000,75000,45000,24400,34820,36400
2010,mountain division,Wyoming,wyoming,71.202232,5.9523287,15.711617,3.9709146,3.1629097,8.2601795,4.8913212,2.285079,23.322414,9.4426956,19.037657,61300,72000,63000,28180,50000,66900
