year,region,state_name,statefip,statefip_str,state_shcollege_white,state_shcollege_hispanic,state_shcollege_black,state_shcollege_asian,state_shcollege_other,state_shnoncollege_white,state_shnoncollege_hispanic,state_shnoncollege_black,state_shnoncollege_asian,state_shnoncollege_other,state_shmarr_white_noncol,state_shcoh_white_noncol,state_shunpmom_white_noncol,state_shmarr_hispanic_noncol,state_shcoh_hispanic_noncol,state_shunpmom_hispanic_noncol,state_shmarr_black_noncol,state_shcoh_black_noncol,state_shunpmom_black_noncol,state_shmarr_asian_noncol,state_shcoh_asian_noncol,state_shunpmom_asian_noncol,state_shmarr_other_noncol,state_shcoh_other_noncol,state_shunpmom_other_noncol,state_shmarr_white_col,state_shcoh_white_col,state_shunpmom_white_col,state_shmarr_hispanic_col,state_shcoh_hispanic_col,state_shunpmom_hispanic_col,state_shmarr_black_col,state_shcoh_black_col,state_shunpmom_black_col,state_shmarr_asian_col,state_shcoh_asian_col,state_shunpmom_asian_col,state_shmarr_other_col,state_shcoh_other_col,state_shunpmom_other_col,state_shpov_white_noncol,state_shpov_hispanic_noncol,state_shpov_black_noncol,state_shpov_asian_noncol,state_shpov_other_noncol,state_shpov_white_col,state_shpov_hispanic_col,state_shpov_black_col,state_shpov_asian_col,state_shpov_other_col,state_hhinc_white_noncol,state_hhinc_hispanic_noncol,state_hhinc_black_noncol,state_hhinc_asian_noncol,state_hhinc_other_noncol,state_hhinc_white_col,state_hhinc_hispanic_col,state_hhinc_black_col,state_hhinc_asian_col,state_hhinc_other_col,state_shpov_white_noncol_marr,state_shpov_white_noncol_coh,state_shpov_white_noncol_unpmom,state_shpov_hisp_noncol_marr,state_shpov_hisp_noncol_coh,state_shpov_hisp_noncol_unpmom,state_shpov_black_noncol_marr,state_shpov_black_noncol_coh,state_shpov_black_noncol_unpmom,state_shpov_asian_noncol_marr,state_shpov_asian_noncol_coh,state_shpov_asian_noncol_unpmom,state_shpov_other_noncol_marr,state_shpov_other_noncol_coh,state_shpov_other_noncol_unpmom,state_shpov_white_col_marr,state_shpov_white_col_coh,state_shpov_white_col_unpmom,state_shpov_hisp_col_marr,state_shpov_hisp_col_coh,state_shpov_hisp_col_unpmom,state_shpov_black_col_marr,state_shpov_black_col_coh,state_shpov_black_col_unpmom,state_shpov_asian_col_marr,state_shpov_asian_col_coh,state_shpov_asian_col_unpmom,state_shpov_other_col_marr,state_shpov_other_col_coh,state_shpov_other_col_unpmom,state_hhinc_white_noncol_marr,state_hhinc_white_noncol_coh,state_hhinc_white_noncol_unpmom,state_hhinc_hisp_noncol_marr,state_hhinc_hisp_noncol_coh,state_hhinc_hisp_noncol_unpmom,state_hhinc_black_noncol_marr,state_hhinc_black_noncol_coh,state_hhinc_black_noncol_unpmom,state_hhinc_asian_noncol_marr,state_hhinc_asian_noncol_coh,state_hhinc_asian_noncol_unpmom,state_hhinc_other_noncol_marr,state_hhinc_other_noncol_coh,state_hhinc_other_noncol_unpmom,state_hhinc_white_col_marr,state_hhinc_white_col_coh,state_hhinc_white_col_unpmom,state_hhinc_hisp_col_marr,state_hhinc_hisp_col_coh,state_hhinc_hisp_col_unpmom,state_hhinc_black_col_marr,state_hhinc_black_col_coh,state_hhinc_black_col_unpmom,state_hhinc_asian_col_marr,state_hhinc_asian_col_coh,state_hhinc_asian_col_unpmom,state_hhinc_other_col_marr,state_hhinc_other_col_coh,state_hhinc_other_col_unpmom
2010,middle atlantic division,New York,new york,36,42.842232,13.758913,20.42087,42.04015,21.087152,57.157768,86.241089,79.579132,57.95985,78.912849,74.301399,8.361084,17.337519,44.320145,14.209933,41.469921,33.512352,7.3341599,59.153492,87.188454,2.5876734,10.223874,62.583607,9.5492668,27.867126,89.832405,1.7656581,8.4019356,69.459488,5.5699406,24.970575,56.834095,2.9239287,40.241974,92.763695,1.1985734,6.0377274,75.415977,8.5207901,16.063232,14.719978,34.51268,32.140423,28.170881,32.989044,2.9951189,8.8071671,10.315676,11.028051,11.502782,60000,36300,32000,44000,35600,122800,93000,90000,100300,97000,11.722645,15.949949,26.972145,20.974823,37.564667,47.935211,16.74243,29.30286,41.215698,27.015205,7.9857268,43.135254,32.193733,27.39282,36.692818,2.1419206,.39913067,12.662947,5.5861769,13.288853,16.767159,4.8973541,2.2802293,18.551863,9.265728,0,40.293621,11.039067,11.877078,13.481353,70000,49000,31080,50000,36600,20600,60000,42200,23100,45370,50000,28600,38400,36000,24480,127800,100000,69000,112030,76000,50000,114000,70000,54000,109000,85000,39340,118800,58000,45110
2010,south atlantic division,North Carolina,north carolina,37,36.478405,10.623595,17.106525,45.06459,24.810564,63.521595,89.376404,82.893478,54.93541,75.189438,70.921883,7.3046827,21.77343,64.336372,13.377147,22.28648,30.585861,7.5139589,61.900181,82.145142,5.5568719,12.297983,47.421329,13.929832,38.648838,88.222931,1.9444872,9.8325777,81.257698,0,18.742302,62.832672,5.4786081,31.688721,96.482567,.71047616,2.8069544,65.640114,.74578691,33.614098,14.847298,27.830229,28.441494,18.962595,23.544996,3.4011862,22.454191,7.1711807,3.5717957,6.1973677,50100,29070,25480,42000,32000,98000,55000,65600,108000,75050,7.8874016,29.159424,32.716026,21.153719,28.653368,46.609821,12.453527,20.777622,37.271706,16.072067,18.847759,38.321941,16.466251,34.904427,28.136297,2.0137961,2.505096,16.026772,15.984715,,50.502766,2.515424,4.9787631,16.7817,2.9656336,100,0,2.3655474,0,13.817475,60000,31200,28860,32000,26100,20500,46800,36000,17300,42100,64000,20000,39000,24500,29720,103000,86000,44500,64400,,17500,83640,60720,40000,110000,20000,78000,90000,36200,59300
2010,west north central div,North Dakota,north dakota,38,42.075199,14.041548,62.159378,3.0971498,11.801054,57.924801,85.95845,37.840622,96.902847,88.198944,75.670403,8.0873318,16.242262,44.136589,15.747884,40.115528,0,0,100,100,0,0,35.628769,14.816353,49.554878,90.754089,1.32177,7.9241433,77.078537,0,22.921463,54.500401,45.499599,0,100,0,0,77.863785,14.347293,7.7889271,7.6603727,17.640951,0,0,25.297117,7.3782673,0,0,0,0,60600,25200,11000,65000,28000,86000,98000,55100,60000,71800,5.2519579,10.049587,17.6912,24.847761,0,16.636942,,,0,0,,,17.595434,22.629818,31.631935,7.8526616,0,3.1758142,0,,0,0,0,,0,,,0,0,0,69000,52400,24100,60510,17100,15000,,,11000,65000,,,49800,22000,27000,91000,68000,38500,98000,,34000,55100,36900,,60000,,,71800,165700,35750
2010,east north central div,Ohio,ohio,39,30.683475,18.235865,13.729471,61.02523,25.175098,69.316528,81.764137,86.270531,38.97477,74.824905,66.256424,11.686805,22.056768,50.644474,13.671534,35.68399,23.752174,8.5261431,67.72168,83.669037,3.9306355,12.400327,47.327854,10.236508,42.435638,89.443878,1.4214424,9.1346836,79.570862,2.2414806,18.187656,51.205051,6.1143184,42.680634,97.603294,0,2.3967011,68.836525,9.0122814,22.151196,15.572836,33.54911,36.46751,13.497551,21.404362,2.7229743,16.233393,15.003833,4.3550844,.45455125,49400,26500,20400,55000,43400,101000,70000,59400,100200,95010,7.7267132,25.966608,33.634686,26.093727,17.086277,50.437527,15.638563,24.30158,45.304581,12.456929,0,24.797388,8.4497881,3.846303,40.087845,1.2857358,7.7463923,16.014259,11.550984,0,38.719524,4.0494184,7.0987434,29.278587,3.3269107,,46.226463,0,0,2.0520394,60000,34100,23200,31100,37800,18000,48800,31500,14400,55000,53000,61300,45000,70200,19900,107100,91000,50000,81330,89000,33000,94200,40100,36450,101990,,41810,108800,41600,69000
2010,west south central div,Oklahoma,oklahoma,40,27.112345,3.6004689,18.010805,40.12291,14.294654,72.887657,96.399529,81.989197,59.87709,85.705345,69.53952,7.3254375,23.135038,63.706081,12.415383,23.878536,35.131615,5.7826543,59.085728,73.576324,13.32837,13.095302,53.744675,10.144662,36.110668,84.903053,1.2188445,13.878102,73.369446,3.0850327,23.545527,57.973145,.36698982,41.659866,95.482452,0,4.5175505,80.822998,2.3231826,16.853819,14.181201,26.557121,32.690769,20.166431,18.99876,5.3152943,19.186529,5.8865719,7.0751905,5.3224554,46000,33510,26000,46000,36000,87000,48000,70000,83000,75000,6.4411054,20.39576,35.478695,19.78632,20.189426,47.931908,18.690317,4.8097486,43.743942,22.054247,0,30.085033,9.8756905,39.328117,26.865746,2.602216,0,22.380102,17.787813,0,26.058924,0,100,13.249159,3.9383717,,73.374649,5.0340657,0,7.4391022,57200,30100,22000,35200,41200,20000,61400,41390,16100,51800,45000,29000,45700,25200,22000,94450,77400,41400,52000,39500,54930,84000,9800,43700,81300,,293000,77500,56600,45000
2010,pacific division,Oregon,oregon,41,31.150141,7.831666,18.326469,42.035641,20.578783,68.849861,92.168335,81.673531,57.964359,79.421219,63.949989,11.117739,24.932272,66.465218,12.035203,21.499578,21.726149,.60726023,77.666595,80.9991,1.3819994,17.618904,57.419914,8.7451658,33.834919,87.455124,2.6737599,9.8711166,87.260666,2.5020921,10.237239,97.080032,0,2.9199648,98.373878,.26814508,1.3579769,82.872299,1.8810222,15.246679,16.665144,22.116344,44.44186,23.436583,16.78574,4.4002819,6.7730627,12.535678,4.6624599,13.094809,49900,36000,18000,47400,43904,96200,85000,80000,106000,84100,8.9366446,18.181627,35.812119,10.985308,39.805134,46.625599,43.176414,0,45.143333,22.671465,49.402409,24.917318,10.57548,35.475918,22.494158,2.2497351,4.5899496,23.402107,1.6069915,0,52.46328,12.912724,,0,4.4669528,100,0,13.378631,0,13.167651,61400,39400,26500,42000,26400,20000,48200,55100,16000,50000,38500,25000,51800,45400,32500,102400,65000,44900,88400,43000,5000,130000,,44500,110500,39700,49200,100000,108250,81850
2010,middle atlantic division,Pennsylvania,pennsylvania,42,35.179527,10.786843,15.065961,51.368176,23.053452,64.820473,89.213158,84.934036,48.631824,76.946548,69.976685,9.6669741,20.356337,49.281891,10.051431,40.666683,25.144669,8.0653515,66.789978,79.904434,6.2169442,13.878626,39.193954,16.23167,44.574375,89.311081,2.3529184,8.3360023,67.897987,8.9289255,23.173084,63.03746,7.1500034,29.812536,90.526855,.3741762,9.0989695,74.091118,1.252915,24.65597,12.057407,33.062859,36.56358,19.899143,28.270042,2.766614,11.032276,4.3293943,8.3711815,18.232214,56100,30100,29400,47000,29000,105000,66050,76000,102000,77000,5.9279237,18.065208,30.275011,16.810362,29.11483,53.734249,21.910904,26.716265,43.269062,22.916075,4.6904483,9.3423033,16.035851,7.6013803,46.55394,1.7961472,2.5421753,13.227444,2.5093954,7.6642609,37.30238,3.7822597,4.4522753,5.4568191,4.1132751,0,51.077904,1.7448415,100,63.621624,67000,44000,27000,41000,36300,16000,50000,37300,21000,50000,44000,47000,59900,30920,17250,110000,83000,60000,89500,61200,16300,85000,83500,53000,107000,33300,33600,100000,14000,17000
2010,new england division,Rhode Island,rhode island,44,44.283016,7.59303,13.4234,27.528208,32.8214,55.716984,92.406967,86.576599,72.471794,67.178604,63.500458,12.848992,23.650547,41.166832,11.677758,47.155415,44.213425,2.6143906,53.172184,57.446922,9.6855478,32.867531,32.520451,1.9101546,65.569397,86.831482,2.4282174,10.740304,64.030525,22.497168,13.472302,42.67873,0,57.321274,100,0,0,67.130768,2.5719075,30.297321,11.876939,25.527426,46.30212,6.3704944,45.866051,4.07341,30.496002,0,0,20.88389,62000,30000,24700,35000,23100,115700,77000,42800,123000,80000,5.5624986,19.587091,24.642063,17.265566,26.300859,32.548519,47.330395,19.767441,46.751766,2.8204532,0,14.452654,0,0,69.950394,2.0618079,0,21.257423,43.279095,12.375638,0,0,,0,0,,,6.2831521,0,55.008038,78100,47500,29900,42000,43500,19600,26000,45000,15600,49400,12000,19540,59400,66200,18000,121300,95000,57000,77000,105000,58000,91300,,32000,123000,,,102000,223480,28300
2010,south atlantic division,South Carolina,south carolina,45,32.046242,11.381511,14.867161,40.454803,38.859428,67.953758,88.618492,85.132843,59.545197,61.140572,68.600243,8.3997698,22.999985,70.313705,11.16172,18.524574,27.909256,8.8939714,63.196774,70.453957,.77174032,28.774305,46.302971,14.687422,39.009609,89.111275,1.3363768,9.5523472,94.807411,0,5.1925883,66.055145,2.8110166,31.133833,94.03656,0,5.9634366,66.548508,0,33.451492,13.484427,29.48707,35.087276,24.915516,16.565983,2.9669955,17.001612,10.160104,0,21.967939,50000,32000,25000,44000,48000,93200,70000,60000,91700,74800,5.9370151,20.532856,33.42136,23.864481,56.327732,34.656258,12.375263,28.180828,46.089439,7.3742509,0,68.533592,.1221806,22.880325,33.706768,1.124493,2.3075688,20.247458,12.750271,,94.623528,9.176321,0,13.164687,0,,0,0,,65.671036,62700,38000,27200,38000,21000,25000,46200,32000,18300,57000,94000,8400,80000,47300,16000,97100,95100,48600,70000,,13330,79000,56000,38200,91700,,119000,91560,,12604
2010,west north central div,South Dakota,south dakota,46,37.415176,27.1635,17.548597,85.389221,9.5103512,62.584824,72.836502,82.451401,14.610779,90.489647,74.017479,11.293868,14.688654,57.026516,16.913761,26.059719,81.859856,18.140144,0,100,0,0,31.529633,17.855839,50.614529,89.994019,1.2859304,8.7200508,94.400894,0,5.5991039,0,0,100,100,0,0,43.110767,23.041298,33.847935,7.5499282,3.7794943,0,100,36.888008,2.5296414,0,0,15.848528,0,58200,32000,31700,20000,18060,88000,116000,22500,104300,38000,4.6887655,4.0785918,24.636644,0,22.345678,0,0,0,,100,,,25.794416,30.304409,46.121174,2.3280816,18.331053,2.2796047,0,,0,,,0,15.848528,,,0,0,0,65000,50600,26000,32000,22000,45000,31700,41800,,20000,,,20000,24800,17500,91524,67000,41500,116000,,36900,,,22500,104300,,,38000,88400,29000
