year,region,state_name,statefip,statefip_str,state_shcollege,state_shnoncollege,state_shpov_col,state_shpov_noncol,state_hhinc_col,state_hhinc_noncol,state_shmarr_noncol,state_shcoh_noncol,state_shunpmom_noncol,state_shmarr_col,state_shcoh_col,state_shunpmom_col,state_shpov_marr_col,state_shpov_cohab_col,state_shpov_unpmom_col,state_shpov_marr_noncol,state_shpov_cohab_noncol,state_shpov_unpmom_noncol,state_hhinc_marr_col,state_hhinc_cohab_col,state_hhinc_unpmom_col,state_hhinc_marr_noncol,state_hhinc_cohab_noncol,state_hhinc_unpmom_noncol
2010,east south central div,Alabama,alabama,01,23.811392,76.188606,2.7136505,19.647594,95800,40500,61.247765,7.9915366,30.760696,84.477402,1.4750381,14.04756,1.2197684,6.78337,11.270033,10.321698,17.80744,38.694496,103000,47000,49000,55400,36500,18900
2010,pacific division,Alaska,alaska,02,24.059435,75.940567,3.2276099,11.258267,113000,64000,65.153351,10.912535,23.934118,90.210228,3.473083,6.3166847,1.1100035,8.9573126,30.319353,4.4720731,18.550663,26.406717,114300,62000,78600,73300,47500,32000
2010,mountain division,Arizona,arizona,04,23.693256,76.306747,5.7236056,25.72378,98200,41900,62.929516,9.9379148,27.132565,81.9608,4.5802674,13.458935,3.4981239,7.9211435,18.528255,17.202572,36.373108,41.586761,107000,82000,52000,54000,31600,27400
2010,west south central div,Arkansas,arkansas,05,19.979805,80.020195,4.1980004,20.63603,87300,35800,57.237965,8.8197527,33.942284,83.394897,1.3348227,15.270283,2.205307,0,15.447566,8.3159256,32.854324,38.236946,95000,45400,42300,49600,28100,19400
2010,pacific division,California,california,06,21.900358,78.09964,7.7896504,32.082142,102000,44200,63.719444,10.661778,25.618776,82.027153,2.5850019,15.387842,5.4751177,23.936045,17.415174,25.159954,38.9753,46.430401,110130,73000,66500,54000,40000,28000
2010,mountain division,Colorado,colorado,08,36.906204,63.093796,6.9893279,18.13755,103000,48930,67.902847,10.428312,21.66884,86.654015,1.0488987,12.297088,5.4892693,13.492064,17.005146,9.1044693,17.967875,46.525841,108000,132500,34500,63400,45000,20000
2010,south atlantic division,Delaware,delaware,10,33.353226,66.646774,2.757565,22.169821,107000,51000,56.306095,8.2024956,35.491413,79.003143,2.3042667,18.692593,2.9292598,0,2.3718357,8.8653679,32.872391,40.803452,114700,127300,68420,71100,32000,28500
2010,south atlantic division,District Of Columbia,district of columbia,11,38.075321,61.924679,8.8410053,30.573496,158700,31200,21.982138,10.141344,67.876518,74.953484,3.3671451,21.679371,1.5815182,0,35.312847,17.191305,20.596798,36.397987,193000,183600,51500,52000,41400,24600
2010,south atlantic division,Florida,florida,12,21.739054,78.260948,5.8925738,25.316111,88110,43100,55.603851,8.9288425,35.467304,82.531395,1.6405864,15.828021,4.0637965,10.96059,14.902987,12.832637,30.761496,43.516205,99000,80350,50000,57000,42000,24000
2010,south atlantic division,Georgia,georgia,13,26.482498,73.517502,5.2210474,21.412672,90500,39400,59.919762,7.2041698,32.876068,83.364204,2.1385188,14.497275,3.3259268,21.012186,13.78925,13.324168,26.864428,34.960091,101000,56500,52490,52500,33200,22000
2010,pacific division,Hawaii,hawaii,15,29.632229,70.367767,6.114356,18.887815,109400,70000,70.566017,6.6882567,22.745728,83.293846,3.2041457,13.502007,4.8233271,7.1174374,13.840668,13.856379,14.837268,35.688316,112620,135300,65600,79200,42300,47000
2010,mountain division,Idaho,idaho,16,24.589052,75.41095,6.7553086,12.833023,83000,45000,73.276276,7.2876887,19.436035,88.598701,1.3522521,10.049043,4.0830312,7.2183094,30.253494,7.9474969,20.275883,28.461308,86200,71000,40000,51200,32400,27500
2010,east north central div,Illinois,illinois,17,34.397972,65.602028,3.5874858,17.737936,119000,65000,70.312469,6.0204153,23.667114,92.051941,1.022994,6.9250622,2.7085316,0,15.801012,11.515484,6.8755083,38.987347,121500,132100,67050,75000,65000,27000
2010,east north central div,Indiana,indiana,18,25.622677,74.377319,3.4729221,15.799371,90000,45000,64.215607,10.589976,25.194416,88.180061,2.1073346,9.7126055,1.3915834,9.0946083,21.149517,8.8088293,16.997921,33.113094,95000,63000,48400,56000,37010,23500
2010,west north central div,Iowa,iowa,19,31.666458,68.333542,3.799897,14.783743,90100,49900,65.422134,10.527881,24.049982,87.815872,1.9138697,10.270253,3.0044458,3.7318151,10.614098,6.7929158,21.415251,33.617905,96000,59400,52050,60600,35400,22000
2010,west north central div,Kansas,kansas,20,35.140991,64.859009,3.9467413,16.631687,87000,48000,64.634521,9.852314,25.513163,88.006653,1.8628376,10.13051,2.1074827,1.7419705,20.33033,5.787147,25.51305,40.675339,90000,70000,44000,56500,42460,20600
