year,region,countyfip,puma,puma_str,pumaID,puma_name,puma_shcollege_white,puma_shcollege_hispanic,puma_shcollege_black,puma_shcollege_asian,puma_shcollege_other,puma_shnoncollege_white,puma_shnoncollege_hispanic,puma_shnoncollege_black,puma_shnoncollege_asian,puma_shnoncollege_other,puma_shmarr_white_noncol,puma_shcoh_white_noncol,puma_shunpmom_white_noncol,puma_shmarr_hispanic_noncol,puma_shcoh_hispanic_noncol,puma_shunpmom_hispanic_noncol,puma_shmarr_black_noncol,puma_shcoh_black_noncol,puma_shunpmom_black_noncol,puma_shmarr_asian_noncol,puma_shcoh_asian_noncol,puma_shunpmom_asian_noncol,puma_shmarr_other_noncol,puma_shcoh_other_noncol,puma_shunpmom_other_noncol,puma_shmarr_white_col,puma_shcoh_white_col,puma_shunpmom_white_col,puma_shmarr_hispanic_col,puma_shcoh_hispanic_col,puma_shunpmom_hispanic_col,puma_shmarr_black_col,puma_shcoh_black_col,puma_shunpmom_black_col,puma_shmarr_asian_col,puma_shcoh_asian_col,puma_shunpmom_asian_col,puma_shmarr_other_col,puma_shcoh_other_col,puma_shunpmom_other_col,puma_shpov_white_noncol,puma_shpov_hispanic_noncol,puma_shpov_black_noncol,puma_shpov_asian_noncol,puma_shpov_other_noncol,puma_shpov_white_col,puma_shpov_hispanic_col,puma_shpov_black_col,puma_shpov_asian_col,puma_shpov_other_col,puma_shpov_white_noncol_marr,puma_shpov_white_noncol_coh,puma_shpov_white_noncol_unpmom,puma_shpov_hisp_noncol_marr,puma_shpov_hisp_noncol_coh,puma_shpov_hisp_noncol_unpmom,puma_shpov_black_noncol_marr,puma_shpov_black_noncol_coh,puma_shpov_black_noncol_unpmom,puma_shpov_asian_noncol_marr,puma_shpov_asian_noncol_coh,puma_shpov_asian_noncol_unpmom,puma_shpov_other_noncol_marr,puma_shpov_other_noncol_coh,puma_shpov_other_noncol_unpmom,puma_shpov_white_col_marr,puma_shpov_white_col_coh,puma_shpov_white_col_unpmom,puma_shpov_hisp_col_marr,puma_shpov_hisp_col_coh,puma_shpov_hisp_col_unpmom,puma_shpov_black_col_marr,puma_shpov_black_col_coh,puma_shpov_black_col_unpmom,puma_shpov_asian_col_marr,puma_shpov_asian_col_coh,puma_shpov_asian_col_unpmom,puma_shpov_other_col_marr,puma_shpov_other_col_coh,puma_shpov_other_col_unpmom
2023,south atlantic division,135,1604,01604,1301604,Atlanta Regional Commission (Northeast)--Gwinnett County (Central)--Lawrenceville PUMA,61.809795,16.294292,37.91684,67.816093,12.488902,38.190205,83.705704,62.08316,32.183907,87.511101,54.545456,4.5454545,40.909092,83.333328,9.5238094,7.1428576,71.052628,7.8947363,21.052631,100,0,0,57.14286,0,42.857143,94.736847,0,5.2631578,80,10,10,61.904762,0,38.095238,71.428574,0,28.57143,50,0,50,0,33.339001,9.1290894,26.934523,0,0,0,9.8443727,15.254237,45.023697,0,0,0,12.752494,100,51.020409,8.6040697,0,20.116959,26.934523,,,0,,0,0,,0,0,0,0,0,,28.752644,29.467941,,0,0,,76.6129
2023,south atlantic division,135,1605,01605,1301605,Atlanta Regional Commission (Northeast)--Gwinnett County (Central) PUMA,67.678223,6.2961998,27.101112,36.075562,5.5666003,32.321777,93.703796,72.898888,63.924438,94.433403,45.454548,0,54.545456,70.512817,15.384616,14.102565,51.515152,0,48.484848,93.939392,0,6.060606,66.666672,0,33.333336,97.297302,2.7027028,0,100,0,0,47.619049,9.5238094,42.857143,88.235298,5.8823528,5.8823528,100,0,0,0,34.914154,39.943241,56.911343,16.63158,23.215706,0,21.135496,43.862614,0,0,,0,37.680782,36.152355,19.163292,25.908667,,48.568157,59.030979,,0,50.641026,,0,24.794559,0,,0,,,0,0,33.183521,49.71283,0,0,0,,
2023,south atlantic division,135,1606,01606,1301606,Atlanta Regional Commission (Northeast)--Gwinnett County (West Central)--Lilburn City PUMA,79.615173,5.058217,35.476318,39.336693,27.3752,20.384827,94.94178,64.523682,60.663307,72.624802,66.666672,0,33.333336,73.504272,6.8376074,19.658119,48.387096,0,51.6129,81.081078,2.7027028,16.216215,87.5,0,12.5,77.777779,0,22.222223,90,0,10,58.823532,11.764706,29.411766,96.153847,0,3.846154,100,0,0,41.860466,39.3848,11.191738,36.124565,82.483368,0,24.779875,15.02538,7.6840982,0,0,,100,37.154476,75.765305,38.060825,9.9397593,,12.272491,30.929625,0,74.774773,91.288345,,0,0,,0,26.585695,,0,0,0,38.642296,5.7220707,,100,0,,
2023,south atlantic division,135,1607,01607,1301607,Atlanta Regional Commission (Northeast)--Gwinnett County (South)--Snellville City PUMA,44.720222,10.730001,35.754429,19.925163,25.278395,55.279778,89.269997,64.245575,80.074837,74.721603,55.882351,5.8823528,38.235294,71.929825,14.035088,14.035088,26.086956,15.94203,57.971012,95.238098,0,4.7619047,76.92308,0,23.076923,83.333328,11.111112,5.5555558,83.333328,0,16.666668,83.333328,0,16.666668,100,0,0,80,0,20,9.803401,21.498989,27.548908,6.775701,34.57526,3.8095241,14.616193,11.86412,0,0,12.301757,0,6.6129026,21.838451,0,54.821236,10.496183,21.330725,31.674545,6.9295101,,0,39.931152,,0,4.3559895,0,0,16.686674,,0,11.637206,,12.7897,0,,,0,,0
2023,south atlantic division,0,1700,01700,1301700,Northeast Georgia Regional Commission (Northwest)--Barrow & Jackson Counties PUMA,36.43399,12.249331,32.173729,13.481675,20.253164,63.56601,87.750671,67.826271,86.518326,79.746834,75,9.659091,15.340909,56.521736,30.434782,13.043478,100,0,0,77.272728,0,22.727274,41.666664,25,33.333336,85.185188,3.7037036,11.111112,100,0,0,70,0,30.000002,100,0,0,85.714287,0,14.285715,12.798494,30.203772,8.4550819,32.07262,2.5396826,1.5905592,0,8.1258192,0,0,10.399159,15.76697,21.560799,33.393051,5.6749783,45.335388,8.4550819,,,10.732714,,90.651558,3.3112581,0,0,0,0,22.463768,0,,,10.58924,,0,0,,,0,,0
2023,south atlantic division,59,1800,01800,1301800,Northeast Georgia Regional Commission (Central)--Clarke County--Athens City PUMA,77.905708,9.4570923,22.110264,100,18.918919,22.094292,90.542908,77.88974,0,81.081085,78.571426,14.285715,7.1428576,50,10,40,21.875,25,53.125,,,,0,0,100,92.105263,2.6315789,5.2631578,100,0,0,20,0,80,100,0,0,100,0,0,14.042788,4.4165058,43.522453,,0,1.789048,0,0,0,0,18.351254,0,0,10.977564,0,0,0,55.384617,50.263332,,,,,,0,1.9058667,0,0,0,,,0,,0,0,,,0,,
2023,south atlantic division,0,1900,01900,1301900,Northeast Georgia Regional Commission (East) PUMA,54.050297,25.029703,15.89361,73.730293,8.6807928,45.949703,74.970299,84.106392,26.269707,91.319206,75,9.848485,15.151516,73.07692,3.846154,23.076923,22.222223,38.888889,38.888889,85.714287,0,14.285715,14.285715,85.714287,0,94.444443,0,5.5555558,100,0,0,71.428574,0,28.57143,100,0,0,100,0,0,13.879832,48.494453,22.406479,95.333328,.82335335,4.890121,0,0,15.795724,0,10.312921,27.739727,20.242718,49.164345,0,65.634674,13.571429,0,62.863533,100,,0,0,.88424438,,3.2415633,,18.464352,0,,,0,,0,15.795724,,,0,,
2023,south atlantic division,0,2000,02000,1302000,"Northeast Georgia Regional Commission (Southwest)--Walton, Morgan & Jasper Counties PUMA",26.993565,47.851242,28.409615,0,49.210529,73.006439,52.148758,71.590385,100,50.789471,78.400002,7.1999998,14.4,80,0,20,46.153847,7.6923079,46.153847,76.92308,0,23.076923,100,0,0,96,0,4,100,0,0,90,0,10,,,,100,0,0,24.067839,73.77179,47.46529,6.666667,0,3.1627753,86.873917,11.960944,,0,13.525313,80.643585,28.089413,79.480286,,30.136988,0,0,78.904991,9.5971565,,0,0,,,0,,47.989948,86.873917,,,12.849649,,0,,,,0,,
2023,south atlantic division,0,2100,02100,1302100,Atlanta & Northeast Georgia Regional Commissions--Newton & Rockdale Counties PUMA,31.664265,14.53668,51.040352,4.9205146,2.4985301,68.335739,85.463318,48.959648,95.079483,97.501472,68.571434,5.7142859,25.714287,61.538464,0,38.46154,52.63158,1.7543859,45.614033,100,0,0,36.842106,10.526316,52.63158,86.84211,5.2631578,7.8947363,66.666672,33.333336,0,69.84127,7.9365082,22.222223,100,0,0,0,0,100,17.738535,36.616219,5.6304059,0,26.288816,6.9681458,0,11.679297,0,0,2.3829608,100,31.390896,43.056332,,9.1557665,6.9505959,100,3.4612861,0,,,0,0,39.103138,9.315589,0,0,0,0,,12.779776,16.651825,6.2746501,0,,,,,0
2023,south atlantic division,151,2201,02201,1302201,Atlanta Regional Commission (Southeast)--Henry County (North)--Stockbridge City PUMA,39.955132,46.066978,47.87746,84.210526,58.888889,60.044868,53.933022,52.12254,15.789474,41.111111,56.521736,26.086956,17.391304,100,0,0,73.333336,2.2222223,24.444445,100,0,0,0,100,0,85.714287,14.285715,0,100,0,0,66.666672,0,33.333336,100,0,0,0,0,100,26.317974,39.061371,29.666945,0,0,0,0,4.9055452,0,100,3.0800822,58.444023,66.745842,39.061371,,,32.961479,0,17.534456,0,,,,0,,0,0,,0,,,2.0589509,,11.641026,0,,,,,100
