year,region,czone,czname,cz_shwhite,cz_shhispanic,cz_shblack,cz_shasian,cz_shother_race,cz_shpov_white,cz_shpov_hispanic,cz_shpov_black,cz_shpov_asian,cz_shpov_other_race,cz_hhinc_white,cz_hhinc_hispanic,cz_hhinc_black,cz_hhinc_asian,cz_hhinc_other_race,cz_shmarr_white,cz_shcoh_white,cz_shunpmom_white,cz_shmarr_hispanic,cz_shcoh_hispanic,cz_shunpmom_hispanic,cz_shmarr_black,cz_shcoh_black,cz_shunpmom_black,cz_shmarr_asian,cz_shcoh_asian,cz_shunpmom_asian,cz_shmarr_other_race,cz_shcoh_other_race,cz_shunpmom_other_race,cz_shpov_white_marr,cz_shpov_white_coh,cz_shpov_white_unpmom,cz_shpov_hispanic_marr,cz_shpov_hispanic_coh,cz_shpov_hispanic_unpmom,cz_shpov_black_marr,cz_shpov_black_coh,cz_shpov_black_unpmom,cz_shpov_asian_marr,cz_shpov_asian_coh,cz_shpov_asian_unpmom,cz_shpov_other_marr,cz_shpov_other_coh,cz_shpov_other_unpmom,cz_hhinc_white_marr,cz_hhinc_white_coh,cz_hhinc_white_unpmom,cz_hhinc_hispanic_marr,cz_hhinc_hispanic_coh,cz_hhinc_hispanic_unpmom,cz_hhinc_black_marr,cz_hhinc_black_coh,cz_hhinc_black_unpmom,cz_hhinc_asian_marr,cz_hhinc_asian_coh,cz_hhinc_asian_unpmom,cz_hhinc_other_marr,cz_hhinc_other_coh,cz_hhinc_other_unpmom
2023,west north central div,26203,"Linton, ND",81.495506,6.9471097,.099702738,.68920088,10.768481,5.2543716,.024161223,0,1.1507407,15.463103,127200,89400,72000,49000,84000,86.312126,4.8853436,8.8025303,74.252693,6.1235232,19.623779,,,,67.927414,0,32.072586,66.398247,5.1290355,28.472719,3.3096917,1.3518827,26.488543,.032539185,,0,,,,1.5944228,,,.80035144,0,52.442074,130000,105000,45000,100000,,24000,,,,49000,,,99000,175000,40800
2023,west north central div,26204,"Steele, ND",81.495506,6.9471097,.099702738,.68920088,10.768481,5.2543716,.024161225,0,1.1507407,15.463103,127200,89400,72000,49000,84000,86.312126,4.8853436,8.8025303,74.252693,6.1235232,19.623779,,,,,,,66.398247,5.1290355,28.472719,3.3096917,1.3518827,26.488543,.032539193,,0,,,,,,,.80035132,,52.442081,130000,105000,45000,100000,,24000,,,,,,,99000,,40800
2023,west north central div,26301,"Devils Lake, ND",78.95652,5.2551241,1.6535081,.35555583,13.779293,4.3373032,.99202108,0,14.079186,17.633001,128000,42200,110600,68100,90000,80.654861,12.39333,6.9518099,78.899849,.72844511,20.371706,100,0,0,,,,64.748833,3.3539231,31.897243,.96477616,1.4143546,48.676228,1.2573168,,0,0,,,,,,0,,55.280643,130000,110200,25000,40200,,42200,110600,,,,,,126000,,15470
2023,west north central div,26302,"Carrington, ND",79.585503,4.8736615,1.2060769,.31144986,14.02331,4.5868769,.63475543,0,19.356926,20.871801,125000,40200,110600,49000,90300,80.260429,12.616615,7.1229548,85.98568,.94594014,13.068382,,,,,,,62.347073,3.9771807,33.675751,1.1145308,1.6599563,48.897118,.73821068,,,,,,,,,0,,61.978729,130000,101900,25000,40200,,,,,,,,,126000,,15000
2023,west north central div,26303,"Turtle Mountain UT, ND",81.282127,6.7154689,.22330415,.64699948,11.132102,5.1813574,.073666684,0,2.1298354,16.224285,127200,59000,110600,49000,84000,85.650162,5.7310333,8.6188087,75.203979,5.7037377,19.092283,,,,69.590988,0,30.409014,65.828117,4.9669323,29.204956,3.0846827,1.4260691,28.514299,.09795583,0,0,,,,2.880475,,,.69367206,0,53.989647,130000,105000,43000,99000,140000,24000,,,,49000,,,105100,175000,38400
2023,west north central div,26304,"Minot, ND",81.495506,6.9471097,.099702738,.68920088,10.768481,5.2543716,.024161223,0,1.1507407,15.463103,127200,89400,72000,49000,84000,86.312126,4.8853436,8.8025303,74.252693,6.1235232,19.623779,,,,67.927414,0,32.072586,66.398247,5.1290355,28.472719,3.3096917,1.3518827,26.488543,.032539185,0,0,,,,1.5944228,,.21105449,.80035132,0,52.442074,130000,105000,45000,100000,140000,24000,,,,49000,,79000,99000,175000,40800
2023,west north central div,26305,"Rugby, ND",80.87587,6.2744455,.4586305,.56665164,11.824407,5.0412793,.17802547,0,4.3970952,17.544088,127000,45000,110600,49000,85000,84.380165,7.3534899,8.2663393,77.209297,4.8188186,17.97188,,,,73.44326,0,26.55674,64.839569,4.6858621,30.474573,2.6431191,1.520625,32.652809,.23057514,,0,,,,5.6348844,,,.50425518,,56.496708,130000,105000,35400,89400,,24000,,,,49000,,,110000,,36300
2023,mountain division,26401,"Ekalaka, SD",70.666656,3.9896767,.49298099,1.888841,22.961847,5.1123323,4.6417294,42.214264,.87110269,35.931908,98300,98800,70000,39010,53000,78.707535,10.071329,11.221138,80.074608,16.692461,3.2329314,,,,,,,42.050289,13.012223,44.937489,4.3318248,2.9492929,12.528377,5.7967563,,,,,,,,,21.150682,46.969719,46.567318,112000,88000,44000,104050,,,,,,,,,65000,35200,40300
2023,mountain division,26402,"Baker, MT",79.134033,3.8250678,.6606437,1.2040799,15.176174,6.4857678,1.8331019,65.404495,0,27.807081,105000,104050,40000,157500,64000,84.922699,5.1052856,9.9720163,92.995811,.0028586132,7.0013313,,,,,,,42.969952,11.354162,45.675884,5.5789442,10.787516,12.00604,1.971166,,,,,,,,,.53813702,36.975853,51.18137,110000,93000,46500,116500,,,,,,,,,90200,59610,22000
2023,west north central div,26403,"Bowman, ND",78.842613,7.3511591,.0078892997,.83208746,12.966247,8.0478983,0,0,.12894617,16.565367,127000,100000,72000,49000,83700,87.585213,3.8090222,8.6057663,61.109467,9.3386087,29.551924,,,,86.823296,0,13.176701,61.84259,6.1468306,32.010578,5.3282576,1.835439,38.476761,0,,0,,,,.13977942,,,1.1669145,,49.495251,130000,105000,35400,120000,,24000,,,,49000,,,85000,,40800
2023,west north central div,26404,"Lemmon, ND",73.637161,6.3101044,.11473899,1.3813995,18.556591,6.7906432,1.5020068,0,.79801244,28.793604,118000,98800,144300,45000,54800,83.115128,7.1507239,9.7341461,62.787998,13.955003,23.257,,,,94.055351,.30150631,5.643137,51.166004,10.180384,38.653614,4.6784773,.70715725,29.294342,2.3921876,0,0,,,,.84516817,,,14.017506,36.331223,46.367584,127000,88000,40700,120000,140000,24000,,,,39010,,,83700,35200,40800
2023,mountain division,26405,"Scobey, MT",79.134033,3.8250678,.66064376,1.2040799,15.176174,6.4857678,1.8331019,65.404495,0,27.807081,105000,104050,40000,157500,64000,84.922699,5.1052852,9.9720163,92.995811,.0028586132,7.0013313,,,,,,,42.969952,11.354162,45.675884,5.5789442,10.787516,12.00604,,,,,,,,,,.53813702,,51.18137,110000,93000,46500,,,,,,,,,,90200,,22000
